,sm_clock,total power,total time,name
0,240,87.73333333333333,7.0,examiniMD
1,330,63.97727272727273,5.0,examiniMD
2,420,54.74285714285714,4.0,examiniMD
3,510,54.89655172413793,4.0,examiniMD
4,600,43.8,3.0,examiniMD
5,690,31.047619047619047,2.0,examiniMD
6,780,31.36842105263158,2.0,examiniMD
7,870,33.0,2.0,examiniMD
8,960,16.875,1.0,examiniMD
9,1050,33.86666666666667,2.0,examiniMD
10,1140,17.642857142857142,1.0,examiniMD
11,1230,18.25,1.0,examiniMD
12,1320,38.666666666666664,2.0,examiniMD
13,1410,39.27272727272727,2.0,examiniMD
14,1500,20.6,1.0,examiniMD
15,1590,21.5,1.0,examiniMD
16,1680,23.0,1.0,examiniMD
17,1770,25.0,1.0,examiniMD
18,1860,26.75,1.0,examiniMD
19,1950,27.75,1.0,examiniMD
20,2040,29.625,1.0,examiniMD
21,2130,31.714285714285715,1.0,examiniMD
22,2220,33.5,1.0,examiniMD
23,2310,35.57142857142857,1.0,examiniMD
24,2400,38.285714285714285,1.0,examiniMD
25,2490,40.57142857142857,1.0,examiniMD
26,2580,44.42857142857143,1,examiniMD
