,sm_clock,total power,total time,name
0,240,16250.072815533982,1477.0,goulash
1,330,12321.820781696855,1074.0,goulash
2,420,10179.945454545454,845.0,goulash
3,510,9032.952871870397,695.0,goulash
4,600,8264.797577854672,591.0,goulash
5,690,7190.890656063619,514.0,goulash
6,780,6738.75,450.0,goulash
7,870,6113.8646616541355,408.0,goulash
8,960,5542.845303867403,370.0,goulash
9,1050,5074.789156626506,339.0,goulash
10,1140,4661.940983606557,311.0,goulash
11,1230,4615.83038869258,289.0,goulash
12,1320,4574.65909090909,270.0,goulash
13,1410,4274.817813765182,252.0,goulash
14,1500,4022.8706896551726,237.0,goulash
15,1590,4171.704545454545,225.0,goulash
16,1680,4261.024038461539,213.0,goulash
17,1770,4443.426395939086,201.0,goulash
18,1860,4375.728723404256,191.0,goulash
19,1950,4367.6,183.0,goulash
20,2040,4333.7192982456145,174.0,goulash
21,2130,4488.634146341464,167.0,goulash
22,2220,4331.715189873417,161.0,goulash
23,2310,4600.622516556291,154.0,goulash
24,2400,4768.0,149.0,goulash
25,2490,4969.503546099291,143.0,goulash
26,2580,5209.5,138.0,goulash
