,sm_clock,total power,total time,name
0,569,163371.65044247787,2844.0,iamr
1,645,155154.29923170237,2593.0,iamr
2,721,149113.63636363638,2400.0,iamr
3,797,144075.22180627048,2241.0,iamr
4,873,139343.41645885285,2103.0,iamr
5,949,136643.29040805512,1979.0,iamr
6,1025,133660.53107344633,1858.0,iamr
7,1101,134884.1778304683,1772.0,iamr
8,1177,143207.50835913312,1694.0,iamr
9,1252,153186.95176848874,1633.0,iamr
10,1328,161621.69297658865,1569.0,iamr
11,1404,176373.49896480332,1520.0,iamr
12,1480,195616.8153955809,1476.0,iamr
