,sm_clock,total power,total time,name
0,240,577992.6647716506,48747.0,iamr
1,330,1070456.4568122132,86399.0,iamr
2,420,1116343.4835546773,86399.0,iamr
3,510,304944.85130769573,23215.0,iamr
4,600,264008.47586206894,19817.0,iamr
5,690,234948.07066927964,17311.0,iamr
6,780,212201.47127673886,15288.0,iamr
7,870,195225.1498439126,13839.0,iamr
8,960,182663.89428898707,12577.0,iamr
9,1050,171462.08995181153,11532.0,iamr
10,1140,162045.24910653918,10658.0,iamr
11,1230,154985.6584250987,9916.0,iamr
12,1320,152254.37069157217,9266.0,iamr
13,1410,146360.25598483055,8702.0,iamr
14,1500,145559.3965300478,8208.0,iamr
15,1590,145148.46715328467,7775.0,iamr
16,1680,147644.7511527176,7381.0,iamr
17,1770,148373.70123203285,7035.0,iamr
18,1860,146894.59683612347,6720.0,iamr
19,1950,146419.25361155698,6430.0,iamr
20,2040,147237.51004016062,6170.0,iamr
21,2130,148498.28412256268,5932.0,iamr
22,2220,150629.53139135154,5710.0,iamr
23,2310,162298.44746716696,5509.0,iamr
24,2400,170911.71087378642,5323.0,iamr
25,2490,176595.85353130018,5154.0,iamr
26,2580,187101.48280149192,4991.0,iamr
