,sm_clock,total power,total time,name
0,569,48997.36296296296,994.0,kripke
1,645,48137.89059080963,962.0,kripke
2,721,49027.395810363836,954.0,kripke
3,797,47270.114416475975,915.0,kripke
4,873,46588.515863689776,891.0,kripke
5,949,45954.97122302158,873.0,kripke
6,1025,46717.92441140024,845.0,kripke
7,1101,47222.63065326633,834.0,kripke
8,1177,50695.36159600997,840.0,kripke
9,1252,53322.231362467865,814.0,kripke
10,1328,57114.715025906735,808.0,kripke
11,1404,61487.958115183246,800.0,kripke
12,1480,67924.63600525624,796.0,kripke
