,sm_clock,total power,total time,name
0,240,42880.977295492485,3063.0,kripke
1,330,35278.97739130435,2352.0,kripke
2,420,30622.301470588238,1947.0,kripke
3,510,26958.977548543688,1685.0,kripke
4,600,25515.977520435965,1501.0,kripke
5,690,23242.06731488407,1367.0,kripke
6,780,22533.955918367345,1252.0,kripke
7,870,21220.977450130093,1179.0,kripke
8,960,19978.977900552487,1110.0,kripke
9,1050,20006.576139670226,1054.0,kripke
10,1140,19112.977642276423,1006.0,kripke
11,1230,18721.408898305086,965.0,kripke
12,1320,18618.97692307692,931.0,kripke
13,1410,18939.952326901246,902.0,kripke
14,1500,19136.403508771928,875.0,kripke
15,1590,19426.558363417567,851.0,kripke
16,1680,19913.859432799014,830.0,kripke
17,1770,20272.954602774276,811.0,kripke
18,1860,20641.953608247422,794.0,kripke
19,1950,21018.284210526315,778.0,kripke
20,2040,21408.364123159303,764.0,kripke
21,2130,22586.930706521736,753.0,kripke
22,2220,23504.979253112033,740.0,kripke
23,2310,24782.93267882188,729.0,kripke
24,2400,25633.393465909092,721.0,kripke
25,2490,26935.13525179856,711.0,kripke
26,2580,28195.9011627907,705.0,kripke
