,sm_clock,total power,total time,name
0,569,23435.76103896104,556.0,quicksilver
1,645,22450.50279329609,526.0,quicksilver
2,721,22028.165191740416,506.0,quicksilver
3,797,21307.971698113208,485.0,quicksilver
4,873,20820.632996632998,464.0,quicksilver
5,949,20448.763250883392,450.0,quicksilver
6,1025,20242.362264150943,431.0,quicksilver
7,1101,20699.34630350195,422.0,quicksilver
8,1177,21617.418032786885,410.0,quicksilver
9,1252,22238.615384615387,396.0,quicksilver
10,1328,24217.869955156948,387.0,quicksilver
11,1404,24610.77168949772,379.0,quicksilver
12,1480,28353.43203883495,373.0,quicksilver
