,sm_clock,total power,total time,name
0,240,14224.469166666668,1237.0,quicksilver
1,330,10591.896162528217,916.0,quicksilver
2,420,8677.206798866857,732.0,quicksilver
3,510,7641.236886632826,613.0,quicksilver
4,600,6625.514792899408,528.0,quicksilver
5,690,5998.03125,467.0,quicksilver
6,780,5427.324120603015,415.0,quicksilver
7,870,4997.397260273972,382.0,quicksilver
8,960,4679.55223880597,350.0,quicksilver
9,1050,4479.772727272727,322.0,quicksilver
10,1140,4215.570934256056,300.0,quicksilver
11,1230,4082.9850746268658,280.0,quicksilver
12,1320,4155.9047619047615,264.0,quicksilver
13,1410,3927.927966101695,247.0,quicksilver
14,1500,3936.25,235.0,quicksilver
15,1590,3916.7677725118483,223.0,quicksilver
16,1680,3884.557213930348,212.0,quicksilver
17,1770,3919.863157894737,202.0,quicksilver
18,1860,4026.1141304347825,195.0,quicksilver
19,1950,4090.7570621468926,187.0,quicksilver
20,2040,4148.775147928995,179.0,quicksilver
21,2130,4300.134146341464,174.0,quicksilver
22,2220,4470.490566037735,168.0,quicksilver
23,2310,4647.098039215686,163.0,quicksilver
24,2400,4914.736486486487,157.0,quicksilver
25,2490,5170.125,153.0,quicksilver
26,2580,5345.284671532846,148.0,quicksilver
